Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,813957,-,-,-,41.65,-91.54,0,213,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2014,1,1,0,30,-11.100000000000001,0,0,0,7,-14.5,0,0,0,0,75.91,108.75,0.8,1000,1,62,4.2,0.0000,0.0000
2014,1,1,1,30,-11.200000000000001,0,0,0,1,-14.5,0,0,0,0,76.60000000000001,119.77,0.8,1000,1,65,4.4,0.0000,0.0000
2014,1,1,2,30,-11.4,0,0,0,7,-14.5,0,0,0,0,78,130.96,0.8,1000,1,67,4.6000000000000005,0.0000,0.0000
2014,1,1,3,30,-11.600000000000001,0,0,0,7,-14.600000000000001,0,0,0,0,78.68,141.96,0.8,999,1,69,4.6000000000000005,0.0000,0.0000
2014,1,1,4,30,-11.8,0,0,0,7,-14.700000000000001,0,0,0,0,78.88,152.09,0.8,999,1,68,4.5,0.0000,0.0000
2014,1,1,5,30,-11.9,0,0,0,7,-14.9,0,0,0,0,78.3,159.6,0.8,998,1,67,4.5,0.0000,0.0000
2014,1,1,6,30,-12,0,0,0,7,-15,0,0,0,0,78.04,160.87,0.8,998,1,68,4.5,0.0000,0.0000
2014,1,1,7,30,-12,0,0,0,7,-15.200000000000001,0,0,0,0,77.05,154.9,0.8,997,1,68,4.7,0.0000,0.0000
2014,1,1,8,30,-12.200000000000001,0,0,0,7,-15.4,0,0,0,0,77.19,145.33,0.8,997,1,68,4.7,0.0000,0.0000
2014,1,1,9,30,-12.3,0,0,0,7,-15.600000000000001,0,0,0,0,76.26,134.5,0.8,997,1,64,4.7,0.0000,0.0000
