Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,813957,-,-,-,41.65,-91.54,0,213,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2015,1,1,0,30,-8.8,0,0,0,0,-13.700000000000001,0,0,0,0,67.43,108.78,0.15,998,0.30000000000000004,246,5.1000000000000005,0.0000,0.0000
2015,1,1,1,30,-9.4,0,0,0,0,-13.4,0,0,0,0,72.53,119.8,0.15,998,0.30000000000000004,243,4.5,0.0000,0.0000
2015,1,1,2,30,-9.8,0,0,0,0,-13.200000000000001,0,0,0,0,76.18,130.99,0.15,997,0.30000000000000004,238,4.5,0.0000,0.0000
2015,1,1,3,30,-10,0,0,0,0,-13,0,0,0,0,78.38,141.99,0.15,997,0.30000000000000004,238,4.800000000000001,0.0000,0.0000
2015,1,1,4,30,-10.4,0,0,0,0,-13,0,0,0,0,81.18,152.12,0.15,996,0.30000000000000004,239,4.800000000000001,0.0000,0.0000
2015,1,1,5,30,-10.8,0,0,0,0,-13.100000000000001,0,0,0,0,83.35000000000001,159.63,0.15,996,0.4,241,4.5,0.0000,0.0000
2015,1,1,6,30,-11.200000000000001,0,0,0,0,-13.200000000000001,0,0,0,0,85.29,160.88,0.15,995,0.4,240,4.1000000000000005,0.0000,0.0000
2015,1,1,7,30,-11.4,0,0,0,0,-13.3,0,0,0,0,85.99,154.9,0.15,995,0.5,240,4.1000000000000005,0.0000,0.0000
2015,1,1,8,30,-11.5,0,0,0,0,-13.3,0,0,0,0,86.21000000000001,145.32,0.15,994,0.5,240,4.2,0.0000,0.0000
2015,1,1,9,30,-11.5,0,0,0,7,-13.4,0,0,0,0,86.15,134.49,0.15,994,0.6000000000000001,238,4.3,0.0000,0.0000
