"PVWatts Hourly PV Performance Data"
"Requested Location","52242, USA"
"Location","Lat, Lng: 41.65, -91.54"
"Latitude (DD)","41.65"
"Longitude (DD)","-91.54"
"Elevation (m)","207.75999450684"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","30"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","-8","5.8","0.87","0","-8","0","0"
"1","1","1","0","0","-9","5.6","0.87","0","-9","0","0"
"1","1","2","0","0","-9","5.4","0.87","0","-9","0","0"
"1","1","3","0","0","-9","5.2","0.87","0","-9","0","0"
"1","1","4","0","0","-9","5.1","0.87","0","-9","0","0"
"1","1","5","0","0","-9","5.6","0.87","0","-9","0","0"
"1","1","6","0","0","-9","6","0.87","0","-9","0","0"
"1","1","7","0","0","-10","6.2","0.87","0","-10","0","0"
"1","1","8","0","23","-10","6.6","0.87","20.779","-9.74","70.738","52.378"
"1","1","9","287","97","-10","7.1","0.87","300.791","-6.379","1159.843","1102.891"
"1","1","10","73","151","-10","7.4","0.87","219.116","-7.447","832.162","786.821"
"1","1","11","788","118","-10","7.7","0.87","817.095","-0.715","3111.571","2985.461"
"1","1","12","807","116","-11","7.8","0.87","839.339","-1.552","3202.98","3073.632"
"1","1","13","789","106","-11","7.7","0.87","768.602","-2.261","2950.708","2830.298"
"1","1","14","730","86","-12","7.5","0.87","612.041","-4.901","2381.126","2280.899"
"1","1","15","589","58","-12","7.1","0.87","385.333","-7.372","1482.462","1414.079"
"1","1","16","189","16","-13","6.6","0.87","72.176","-12.238","165.815","144.085"
"1","1","17","0","0","-13","6.1","0.87","0","-13","0","0"
"1","1","18","0","0","-13","5.7","0.87","0","-13","0","0"
"1","1","19","0","0","-14","5.4","0.87","0","-14","0","0"
"1","1","20","0","0","-14","5.1","0.87","0","-14","0","0"
"1","1","21","0","0","-14","4.8","0.87","0","-14","0","0"
"1","1","22","0","0","-14","4.7","0.87","0","-14","0","0"
"1","1","23","0","0","-15","4.8","0.87","0","-15","0","0"
"1","2","0","0","0","-15","4.9","0.87","0","-15","0","0"
"1","2","1","0","0","-15","5.1","0.87","0","-15","0","0"
"1","2","2","0","0","-16","5.3","0.87","0","-16","0","0"
"1","2","3","0","0","-16","5.2","0.87","0","-16","0","0"
"1","2","4","0","0","-17","4.6","0.87","0","-17","0","0"
"1","2","5","0","0","-17","4.1","0.87","0","-17","0","0"
"1","2","6","0","0","-18","4","0.87","0","-18","0","0"
"1","2","7","0","0","-18","4","0.87","0","-18","0","0"
"1","2","8","567","40","-17","4.5","0.87","264.042","-12.763","991.438","940.453"
"1","2","9","772","63","-15","4.8","0.87","570.465","-6.074","2229.379","2134.529"
"1","2","10","863","77","-14","4.5","0.87","760.362","-1.628","2920.838","2801.487"
"1","2","11","904","83","-13","4.3","0.87","866.834","1.482","3279.465","3147.407"
"1","2","12","909","84","-12","4.2","0.87","882.23","2.943","3318.59","3185.145"
"1","2","13","893","76","-11","4.1","0.87","810.961","2.941","3062.293","2937.93"
"1","2","14","834","63","-11","3.7","0.87","652.092","0.896","2492.138","2387.978"
"1","2","15","690","46","-12","2.7","0.87","420.541","-3.004","1600.228","1527.672"
"1","2","16","282","15","-14","2","0.87","100.325","-11.958","231.759","207.692"
"1","2","17","0","0","-16","1.8","0.87","0","-16","0","0"
"1","2","18","0","0","-16","1.7","0.87","0","-16","0","0"
"1","2","19","0","0","-16","1.5","0.87","0","-16","0","0"
"1","2","20","0","0","-16","1.4","0.87","0","-16","0","0"
"1","2","21","0","0","-16","1.4","0.87","0","-16","0","0"
"1","2","22","0","0","-17","1.3","0.87","0","-17","0","0"
"1","2","23","0","0","-17","1.3","0.87","0","-17","0","0"
"1","3","0","0","0","-17","1.4","0.87","0","-17","0","0"
"1","3","1","0","0","-17","1.4","0.87","0","-17","0","0"
"1","3","2","0","0","-16","1.4","0.87","0","-16","0","0"
"1","3","3","0","0","-16","1.6","0.87","0","-16","0","0"
"1","3","4","0","0","-15","2","0.87","0","-15","0","0"
"1","3","5","0","0","-15","2.5","0.87","0","-15","0","0"
"1","3","6","0","0","-14","3.3","0.87","0","-14","0","0"
"1","3","7","0","0","-13","4.4","0.87","0","-13","0","0"
"1","3","8","182","48","-12","5","0.87","129.564","-10.052","472.777","440.17"
"1","3","9","740","64","-9","5.5","0.87","551.358","-1.089","2118.592","2027.667"
"1","3","10","40","145","-7","6.3","0.87","186.287","-4.573","695.618","655.115"
"1","3","11","0","95","-5","6.8","0.87","87.884","-3.916","317.003","289.916"
"1","3","12","867","89","-3","6.8","0.87","853.921","7.602","3161.681","3033.795"
"1","3","13","843","84","-2","6.6","0.87","782.366","7.924","2903.803","2785.056"
"1","3","14","778","72","-2","6.2","0.87","626.102","6.297","2347.552","2248.515"
"1","3","15","623","52","-3","5.5","0.87","399.106","2.706","1488.382","1419.788"
"1","3","16","0","24","-4","4.9","0.87","21.494","-3.713","49.254","31.654"
"1","3","17","0","0","-5","4.7","0.87","0","-5","0","0"
"1","3","18","0","0","-6","4.8","0.87","0","-6","0","0"
"1","3","19","0","0","-6","4.7","0.87","0","-6","0","0"
"1","3","20","0","0","-7","4.6","0.87","0","-7","0","0"
"1","3","21","0","0","-7","4.6","0.87","0","-7","0","0"
"1","3","22","0","0","-7","4.5","0.87","0","-7","0","0"
"1","3","23","0","0","-7","4.5","0.87","0","-7","0","0"
"1","4","0","0","0","-6","4.5","0.87","0","-6","0","0"
"1","4","1","0","0","-6","4.6","0.87","0","-6","0","0"
"1","4","2","0","0","-6","4.5","0.87","0","-6","0","0"
"1","4","3","0","0","-6","4.5","0.87","0","-6","0","0"
