"PVWatts Hourly PV Performance Data"
"Requested Location","52242, USA"
"Location","Lat, Lng: 41.65, -91.54"
"Latitude (DD)","41.65"
"Longitude (DD)","-91.54"
"Elevation (m)","207.75999450684"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","9.46"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","-8","5.8","0.87","0","-8","0","0"
"1","1","1","0","0","-9","5.6","0.87","0","-9","0","0"
"1","1","2","0","0","-9","5.4","0.87","0","-9","0","0"
"1","1","3","0","0","-9","5.2","0.87","0","-9","0","0"
"1","1","4","0","0","-9","5.1","0.87","0","-9","0","0"
"1","1","5","0","0","-9","5.6","0.87","0","-9","0","0"
"1","1","6","0","0","-9","6","0.87","0","-9","0","0"
"1","1","7","0","0","-10","6.2","0.87","0","-10","0","0"
"1","1","8","0","23","-10","6.6","0.87","22.54","-9.718","76.992","58.41"
"1","1","9","287","97","-10","7.1","0.87","219.89","-7.373","820.565","775.635"
"1","1","10","73","151","-10","7.4","0.87","194.396","-7.737","734.356","692.481"
"1","1","11","788","118","-10","7.7","0.87","579.819","-3.411","2231.47","2136.546"
"1","1","12","807","116","-11","7.8","0.87","595.507","-4.297","2298.206","2200.917"
"1","1","13","789","106","-11","7.7","0.87","538.793","-4.874","2087.677","1997.848"
"1","1","14","730","86","-12","7.5","0.87","416.125","-7.204","1589.275","1517.106"
"1","1","15","589","58","-12","7.1","0.87","242.512","-9.164","847.039","801.17"
"1","1","16","189","16","-13","6.6","0.87","39.629","-12.633","71.591","53.2"
"1","1","17","0","0","-13","6.1","0.87","0","-13","0","0"
"1","1","18","0","0","-13","5.7","0.87","0","-13","0","0"
"1","1","19","0","0","-14","5.4","0.87","0","-14","0","0"
"1","1","20","0","0","-14","5.1","0.87","0","-14","0","0"
"1","1","21","0","0","-14","4.8","0.87","0","-14","0","0"
"1","1","22","0","0","-14","4.7","0.87","0","-14","0","0"
"1","1","23","0","0","-15","4.8","0.87","0","-15","0","0"
"1","2","0","0","0","-15","4.9","0.87","0","-15","0","0"
"1","2","1","0","0","-15","5.1","0.87","0","-15","0","0"
"1","2","2","0","0","-16","5.3","0.87","0","-16","0","0"
"1","2","3","0","0","-16","5.2","0.87","0","-16","0","0"
"1","2","4","0","0","-17","4.6","0.87","0","-17","0","0"
"1","2","5","0","0","-17","4.1","0.87","0","-17","0","0"
"1","2","6","0","0","-18","4","0.87","0","-18","0","0"
"1","2","7","0","0","-18","4","0.87","0","-18","0","0"
"1","2","8","567","40","-17","4.5","0.87","187.097","-14.115","613.114","575.535"
"1","2","9","772","63","-15","4.8","0.87","376.707","-9.172","1421.453","1355.231"
"1","2","10","863","77","-14","4.5","0.87","523.111","-5.496","2029.808","1942.03"
"1","2","11","904","83","-13","4.3","0.87","606.304","-2.869","2334.597","2236.019"
"1","2","12","909","84","-12","4.2","0.87","618.496","-1.522","2369.691","2269.869"
"1","2","13","893","76","-11","4.1","0.87","561.005","-1.355","2153.095","2060.948"
"1","2","14","834","63","-11","3.7","0.87","436.628","-3.086","1647.114","1572.896"
"1","2","15","690","46","-12","2.7","0.87","259.813","-6.599","896.5","848.88"
"1","2","16","282","15","-14","2","0.87","50.989","-13.125","88.132","69.155"
"1","2","17","0","0","-16","1.8","0.87","0","-16","0","0"
"1","2","18","0","0","-16","1.7","0.87","0","-16","0","0"
"1","2","19","0","0","-16","1.5","0.87","0","-16","0","0"
"1","2","20","0","0","-16","1.4","0.87","0","-16","0","0"
"1","2","21","0","0","-16","1.4","0.87","0","-16","0","0"
"1","2","22","0","0","-17","1.3","0.87","0","-17","0","0"
"1","2","23","0","0","-17","1.3","0.87","0","-17","0","0"
"1","3","0","0","0","-17","1.4","0.87","0","-17","0","0"
"1","3","1","0","0","-17","1.4","0.87","0","-17","0","0"
"1","3","2","0","0","-16","1.4","0.87","0","-16","0","0"
"1","3","3","0","0","-16","1.6","0.87","0","-16","0","0"
"1","3","4","0","0","-15","2","0.87","0","-15","0","0"
"1","3","5","0","0","-15","2.5","0.87","0","-15","0","0"
"1","3","6","0","0","-14","3.3","0.87","0","-14","0","0"
"1","3","7","0","0","-13","4.4","0.87","0","-13","0","0"
"1","3","8","182","48","-12","5","0.87","98.988","-10.546","331.243","303.651"
"1","3","9","740","64","-9","5.5","0.87","365.308","-3.816","1353.549","1289.733"
"1","3","10","40","145","-7","6.3","0.87","171.103","-4.772","636.214","597.816"
"1","3","11","0","95","-5","6.8","0.87","93.827","-3.843","339.131","311.26"
"1","3","12","867","89","-3","6.8","0.87","601.101","4.464","2255.481","2159.706"
"1","3","13","843","84","-2","6.6","0.87","544.696","4.909","2044.493","1956.194"
"1","3","14","778","72","-2","6.2","0.87","423.432","3.577","1561.639","1490.45"
"1","3","15","623","52","-3","5.5","0.87","249.301","0.47","843.957","798.198"
"1","3","16","0","24","-4","4.9","0.87","23.73","-3.685","54.182","36.408"
"1","3","17","0","0","-5","4.7","0.87","0","-5","0","0"
"1","3","18","0","0","-6","4.8","0.87","0","-6","0","0"
"1","3","19","0","0","-6","4.7","0.87","0","-6","0","0"
"1","3","20","0","0","-7","4.6","0.87","0","-7","0","0"
"1","3","21","0","0","-7","4.6","0.87","0","-7","0","0"
"1","3","22","0","0","-7","4.5","0.87","0","-7","0","0"
"1","3","23","0","0","-7","4.5","0.87","0","-7","0","0"
"1","4","0","0","0","-6","4.5","0.87","0","-6","0","0"
"1","4","1","0","0","-6","4.6","0.87","0","-6","0","0"
"1","4","2","0","0","-6","4.5","0.87","0","-6","0","0"
"1","4","3","0","0","-6","4.5","0.87","0","-6","0","0"
